amount,transactionType,sender_directMatchWithSDN,sender_terroristAffiliation,sender_highRiskCountry,sender_secondarySanctionsRisk,sender_sectoralSanctions,sender_FATFListCountryStatus,sender_antiMoneyLaundering,receiver_directMatchWithSDN,receiver_terroristAffiliation,receiver_highRiskCountry,receiver_secondarySanctionsRisk,receiver_sectoralSanctions,receiver_FATFListCountryStatus,receiver_antiMoneyLaundering,senderCountry,receiverCountry
861069,Wire Transfer,True,True,True,False,True,grey,True,True,True,True,True,True,none,False,China,India
3630269,ACH Transfer,True,True,True,False,True,none,True,False,True,True,True,False,grey,False,China,Russia
291320,Crypto,True,True,True,True,True,black,True,True,False,False,True,True,grey,False,United States,United States
4894872,Check,True,False,True,False,True,grey,True,True,False,True,False,True,black,True,Russia,United States
1810865,SWIFT,False,False,False,False,False,none,False,True,False,True,True,False,none,False,United Kingdom,Germany
2776301,Wire Transfer,False,False,True,False,False,none,True,True,True,True,True,False,grey,True,Russia,India
199411,SWIFT,True,True,False,True,True,grey,False,False,False,True,True,True,grey,False,Germany,United States
325060,SWIFT,True,True,True,True,True,grey,False,True,False,False,True,False,black,False,China,Switzerland
4794096,ACH Transfer,True,True,False,False,False,grey,True,True,True,False,False,True,none,False,Brazil,Germany
2425804,Wire Transfer,False,False,True,True,True,black,True,False,True,True,True,True,black,False,India,India
1125005,Wire Transfer,True,True,True,True,True,none,True,False,False,False,False,True,grey,True,India,Brazil
2352698,Crypto,True,False,False,True,True,none,True,False,False,False,True,False,grey,False,United States,India
128163,SWIFT,False,False,False,True,False,black,False,True,False,True,True,True,black,True,Brazil,China
1069737,Crypto,False,False,False,False,False,grey,True,False,False,True,False,False,grey,False,Germany,Germany
877937,Wire Transfer,True,False,False,False,False,none,True,False,False,True,True,True,black,True,Brazil,India
3328825,SWIFT,True,True,False,False,True,grey,True,True,True,True,False,False,black,True,China,United States
529948,Crypto,True,False,False,True,True,black,False,True,False,True,False,True,none,True,Brazil,Russia
1871436,SWIFT,False,True,False,True,False,grey,True,False,True,False,False,False,black,True,Germany,Germany
978304,ACH Transfer,True,False,True,False,True,black,False,False,True,True,False,False,black,False,Germany,Switzerland
4507844,ACH Transfer,True,True,False,False,False,none,False,True,False,True,True,False,none,True,India,Switzerland
1385069,SWIFT,False,False,True,False,False,black,False,False,True,True,True,False,none,True,Brazil,India
523638,SWIFT,False,True,True,False,False,none,True,False,False,True,False,True,black,False,Russia,India
4856087,SWIFT,False,False,False,False,False,grey,True,False,False,True,False,True,grey,True,Russia,Brazil
2843823,Wire Transfer,False,True,True,False,True,grey,False,True,False,False,True,False,black,False,United Kingdom,United Kingdom
403445,ACH Transfer,False,True,False,False,False,none,False,False,False,True,False,False,black,False,United Kingdom,Germany
4675501,SWIFT,True,True,True,True,True,none,False,False,True,False,False,False,black,True,Switzerland,China
1465002,Crypto,False,True,True,False,True,none,False,True,False,False,False,False,none,True,Brazil,Brazil
2512674,Wire Transfer,False,True,True,True,False,none,False,False,False,True,False,False,grey,True,Brazil,Germany
3537869,Wire Transfer,False,False,False,False,False,none,False,False,True,True,True,False,grey,True,Switzerland,Brazil
274966,SWIFT,True,True,False,False,True,grey,True,False,True,False,False,False,black,False,China,Switzerland
4943914,Wire Transfer,False,False,False,False,True,grey,True,False,False,True,True,False,black,False,China,United States
2394553,Check,True,False,False,True,False,black,False,True,True,False,True,False,grey,False,Germany,United States
86328,ACH Transfer,False,True,True,False,False,grey,True,False,True,True,False,True,grey,False,United States,Russia
2923156,Crypto,False,False,False,False,False,black,True,False,True,True,True,False,none,True,Brazil,United States
4278107,Crypto,True,False,True,False,False,grey,True,True,False,False,False,False,grey,True,United Kingdom,China
3666820,SWIFT,False,True,True,True,True,grey,True,True,True,True,True,True,none,False,Switzerland,Switzerland
656223,SWIFT,False,False,False,True,False,grey,True,True,False,False,True,True,grey,False,United States,India
4052329,Crypto,True,True,False,False,True,grey,False,False,True,False,True,False,grey,True,China,Germany
1979773,Check,True,True,False,False,True,grey,False,True,True,True,True,True,grey,False,India,Brazil
2155556,Wire Transfer,True,False,True,True,False,none,True,False,False,False,False,True,grey,False,United States,India
622439,Crypto,False,False,True,False,True,grey,False,False,False,True,False,False,black,True,China,China
405510,SWIFT,True,True,False,False,False,none,True,True,True,True,False,False,grey,False,Brazil,Brazil
36862,Crypto,True,False,True,False,False,grey,False,True,False,True,False,False,grey,True,United States,China
404050,Check,True,False,True,False,True,none,False,True,False,False,True,True,none,True,China,Germany
193338,Check,False,False,True,False,True,black,True,True,True,False,True,True,none,True,China,Brazil
4931446,Check,False,False,True,True,False,black,True,True,True,False,False,False,none,True,Russia,United Kingdom
4973386,Wire Transfer,True,True,False,True,True,none,False,False,False,False,False,True,grey,True,Brazil,Brazil
1101740,SWIFT,True,False,False,False,False,black,False,False,True,True,False,False,black,True,Switzerland,India
1411645,Check,False,True,False,True,True,none,True,False,True,False,False,True,none,True,China,United States
576463,SWIFT,False,True,False,False,True,none,True,False,False,True,True,True,none,False,Russia,Brazil
2761651,ACH Transfer,False,True,False,False,False,black,False,True,True,False,True,True,black,True,Brazil,Russia
4254888,Wire Transfer,True,False,False,False,True,black,False,False,True,False,False,False,grey,True,Germany,China
3466345,Crypto,True,False,True,False,True,black,True,False,True,True,True,False,grey,True,United Kingdom,Switzerland
1602386,ACH Transfer,True,True,False,False,False,none,False,True,True,False,True,True,grey,False,United Kingdom,India
670909,Check,True,False,True,False,True,grey,False,True,True,False,False,True,grey,True,Switzerland,United Kingdom
2701105,ACH Transfer,False,False,False,False,True,black,False,True,True,True,True,True,none,True,Russia,United States
766858,Wire Transfer,False,True,True,False,False,black,False,True,False,False,False,True,none,False,Brazil,Germany
3340442,Wire Transfer,True,False,True,False,True,black,False,False,True,True,False,False,black,False,Germany,India
3947344,SWIFT,False,True,False,False,False,grey,True,False,False,False,True,False,grey,False,United Kingdom,United States
2829893,Crypto,True,False,True,True,True,black,True,False,False,True,True,False,none,False,China,Germany
1922801,Crypto,False,True,False,True,True,grey,False,False,True,True,True,False,none,False,Germany,United States
3562976,Check,True,False,False,True,True,black,True,False,True,False,True,False,grey,True,Germany,Switzerland
1308950,Crypto,True,False,False,True,False,none,True,False,True,False,True,False,black,False,China,Brazil
3330390,Wire Transfer,False,True,True,True,True,black,False,False,True,False,False,True,black,False,Germany,United States
4314815,Crypto,True,True,True,False,False,none,False,False,True,False,False,False,none,True,Germany,Switzerland
1885643,SWIFT,False,True,False,True,True,none,False,False,True,True,True,True,black,True,China,Germany
2642462,Wire Transfer,True,False,False,True,True,black,True,True,True,False,True,False,black,False,Switzerland,United Kingdom
2453908,Wire Transfer,False,True,True,False,False,grey,False,False,True,False,False,False,none,False,Germany,United States
3173747,Crypto,True,True,True,False,True,grey,True,False,False,False,True,False,none,False,Germany,India
3816991,SWIFT,False,True,False,True,False,none,False,False,True,False,False,True,black,False,United Kingdom,United Kingdom
51967,ACH Transfer,False,False,False,False,True,none,True,False,True,False,True,True,black,False,Switzerland,India
721324,Wire Transfer,True,False,False,True,True,black,True,False,True,False,True,True,grey,False,Switzerland,China
986747,Crypto,False,False,True,True,True,grey,True,True,True,True,True,False,grey,False,United Kingdom,United Kingdom
1164757,Check,True,True,True,True,True,grey,True,False,False,True,True,True,grey,False,United States,United Kingdom
4998070,ACH Transfer,False,False,True,True,True,none,True,False,True,True,True,False,none,True,Brazil,Germany
2579026,ACH Transfer,False,True,False,False,False,none,True,True,False,True,True,False,none,False,United Kingdom,India
1022016,Check,True,True,False,False,False,grey,True,False,False,False,False,True,grey,True,Russia,China
79888,Wire Transfer,True,True,True,True,True,none,True,True,False,False,False,True,none,True,Switzerland,China
1390342,SWIFT,True,False,False,True,True,black,False,True,True,True,True,True,grey,False,China,Russia
1604437,Check,True,True,True,True,False,none,False,False,False,False,False,True,none,False,Brazil,Brazil
274735,Check,False,True,True,False,False,black,False,False,False,True,True,False,none,True,Brazil,Brazil
3705966,ACH Transfer,True,True,True,False,True,none,False,True,True,True,False,False,black,False,Switzerland,United Kingdom
143055,Wire Transfer,False,True,False,False,True,grey,False,True,False,False,True,True,black,True,China,Germany
3716033,Wire Transfer,False,False,True,False,False,grey,False,True,True,True,True,False,grey,True,Switzerland,Switzerland
4383053,ACH Transfer,False,False,True,True,True,black,True,False,True,False,True,True,grey,True,India,Russia
18985,Crypto,False,True,False,True,False,none,True,True,False,True,False,True,black,True,Brazil,Switzerland
4223790,Check,True,False,False,True,False,none,False,False,True,False,False,False,grey,True,China,India
279190,Check,True,True,True,True,False,black,False,False,False,False,False,False,black,True,India,Germany
366800,Check,False,False,True,False,False,grey,True,False,True,False,True,True,none,True,Russia,United States
2558977,ACH Transfer,False,True,True,False,True,none,True,True,False,False,False,True,none,False,United States,Russia
367515,Crypto,True,False,False,False,False,none,False,False,False,True,True,False,grey,True,China,Switzerland
4489908,Wire Transfer,False,False,True,True,False,grey,True,True,True,False,False,True,grey,True,United Kingdom,United Kingdom
943966,ACH Transfer,False,True,False,True,False,black,True,True,False,False,False,True,grey,True,United States,Brazil
100620,Wire Transfer,True,True,True,True,False,grey,False,True,False,False,True,True,none,False,United States,United Kingdom
3873818,Check,False,True,True,False,False,grey,True,True,True,True,False,False,black,False,Switzerland,Switzerland
232859,Check,False,True,False,False,False,black,True,False,False,True,True,False,none,False,China,United Kingdom
1105351,Check,False,True,True,True,False,grey,False,True,False,False,True,True,grey,False,India,Russia
4406246,Check,False,False,True,True,False,none,True,False,True,True,True,False,black,True,United Kingdom,Brazil
798750,Wire Transfer,False,True,True,False,False,none,False,False,True,True,True,True,none,False,China,Germany
614217,Crypto,False,True,False,True,False,grey,False,False,True,True,True,False,black,True,Russia,Germany
3259663,Check,True,False,True,False,False,grey,True,True,False,True,True,False,black,False,China,United Kingdom
3419645,Wire Transfer,True,True,False,True,True,grey,False,True,False,False,False,True,none,True,United Kingdom,United Kingdom
1891185,SWIFT,False,True,True,False,True,grey,False,True,False,False,False,False,black,False,Germany,Germany
2340962,Crypto,False,False,False,False,True,black,True,False,True,False,False,True,grey,False,Switzerland,India
2128787,Crypto,True,True,True,True,True,none,True,False,True,True,True,True,none,False,India,China
2575667,Check,True,False,False,True,False,none,False,True,True,False,False,False,black,False,Switzerland,China
997136,Check,True,True,True,False,False,grey,True,True,True,True,False,True,black,True,India,India
3522442,Crypto,True,True,True,False,False,grey,False,False,False,False,False,False,grey,False,China,Russia
897760,SWIFT,False,False,True,False,True,grey,True,True,True,False,False,True,grey,False,United States,United Kingdom
2235162,Crypto,True,True,True,False,True,black,True,True,False,False,True,False,none,True,China,China
1913291,ACH Transfer,False,True,False,False,False,grey,True,True,True,True,False,False,grey,False,United States,India
731320,Crypto,True,False,False,False,True,none,True,True,True,False,True,True,grey,True,Switzerland,Germany
4605849,ACH Transfer,False,True,False,True,True,black,False,True,True,True,False,False,grey,False,Russia,United States
4309542,Check,True,False,False,True,False,grey,True,False,True,True,True,False,black,True,India,China
3332214,Wire Transfer,False,True,False,False,True,grey,False,True,False,False,False,False,grey,True,Brazil,China
2029237,Wire Transfer,False,True,False,True,True,grey,False,True,True,False,False,False,none,False,Switzerland,United Kingdom
3658890,ACH Transfer,True,True,True,True,False,none,False,False,False,False,False,True,grey,True,Switzerland,China
802250,Wire Transfer,False,True,True,False,False,none,False,False,False,False,False,False,grey,True,Germany,Germany
4931583,Crypto,False,True,True,True,False,none,False,True,False,False,False,True,grey,False,China,Switzerland
298330,Wire Transfer,True,False,True,False,False,grey,False,True,False,True,False,True,none,False,China,Russia
2624868,ACH Transfer,True,False,False,True,False,black,True,True,False,False,True,True,none,True,Brazil,Russia
4569010,ACH Transfer,True,True,True,True,False,none,False,True,True,True,False,False,black,True,Brazil,India
563102,Crypto,False,True,True,False,False,grey,True,True,False,False,False,False,grey,False,India,Germany
1964667,Crypto,False,True,False,False,True,black,True,True,False,False,False,False,grey,True,United States,India
2062372,Check,False,False,True,True,False,none,True,True,False,False,True,False,none,True,Germany,United Kingdom
1845093,Crypto,False,True,False,True,False,none,False,False,False,True,True,True,grey,False,China,Switzerland
4042284,Crypto,False,True,True,False,False,none,False,False,False,False,False,False,black,True,United Kingdom,United States
4321754,SWIFT,True,True,True,True,False,grey,True,False,False,False,True,True,grey,False,Germany,Russia
3307891,Wire Transfer,False,True,True,False,False,grey,True,False,False,True,False,False,none,False,Brazil,Switzerland
294074,ACH Transfer,True,False,True,False,False,none,True,False,True,False,True,False,black,False,Brazil,Russia
2573410,Crypto,False,True,True,False,True,none,False,True,False,True,True,True,grey,True,India,United States
2430514,SWIFT,True,False,False,True,False,grey,False,False,False,True,False,False,black,False,Brazil,China
2321033,ACH Transfer,False,False,True,False,True,grey,False,False,True,False,True,False,grey,True,China,Brazil
1974027,Check,True,True,True,True,False,black,True,True,False,True,True,False,grey,False,United Kingdom,China
3248119,Crypto,True,True,False,False,True,grey,True,False,True,True,True,True,grey,False,Germany,India
97333,Check,False,False,False,True,True,grey,True,False,False,False,True,False,none,True,India,India
298318,Check,True,True,False,True,True,none,True,False,False,False,False,False,none,False,Switzerland,United Kingdom
60902,Wire Transfer,False,True,False,False,True,none,False,False,True,False,True,True,none,False,Germany,Switzerland
3817453,Wire Transfer,True,True,True,True,False,grey,False,True,True,True,False,True,grey,False,China,India
1732077,SWIFT,True,False,False,True,True,grey,True,False,False,True,False,False,grey,True,China,United States
1267960,ACH Transfer,False,True,True,False,True,grey,False,True,False,False,False,False,grey,True,China,Germany
448936,Crypto,True,False,False,False,False,none,True,True,True,True,False,False,black,True,Brazil,Switzerland
738615,Wire Transfer,False,True,False,False,True,none,False,True,True,True,True,False,black,False,Russia,Switzerland
4659928,Check,False,False,False,True,True,grey,True,True,False,False,True,False,none,True,United Kingdom,Brazil
2038718,SWIFT,True,False,False,False,False,none,False,False,False,False,True,True,grey,False,Germany,China
1475398,Wire Transfer,True,True,True,False,False,grey,True,False,True,False,True,True,grey,True,Switzerland,China
3156005,Wire Transfer,True,True,True,True,False,none,True,False,False,True,True,True,none,False,India,Germany
1596759,ACH Transfer,False,False,True,True,False,none,True,True,True,True,True,False,black,True,India,United States
1537217,SWIFT,False,False,True,False,True,none,True,False,True,False,False,True,none,False,China,United Kingdom
3221135,Wire Transfer,False,False,True,True,True,grey,False,False,True,False,True,False,black,False,Russia,Switzerland
4020411,Crypto,False,False,False,False,True,grey,False,False,True,False,False,True,none,False,United Kingdom,Switzerland
1081669,ACH Transfer,False,False,True,False,True,grey,True,True,False,False,True,False,none,False,United Kingdom,Germany
1490057,SWIFT,False,False,True,True,False,black,True,True,False,True,True,True,grey,True,China,United Kingdom
3496626,Wire Transfer,False,True,True,True,False,grey,True,True,True,True,False,False,black,True,India,Germany
2119448,Crypto,False,True,True,True,True,grey,True,True,False,False,False,True,grey,False,United Kingdom,Russia
3045664,ACH Transfer,False,True,False,True,True,black,True,True,True,True,True,False,black,True,Russia,United States
4398731,SWIFT,True,True,True,False,False,none,False,True,True,False,True,False,black,False,Russia,Brazil
2091406,Crypto,False,True,False,False,True,black,True,True,False,False,True,True,black,False,United Kingdom,United States
2772833,SWIFT,True,False,False,False,False,none,False,True,True,True,True,True,black,True,Brazil,China
3813551,Crypto,True,False,False,False,True,none,True,False,True,False,True,True,grey,True,United States,China
3128151,ACH Transfer,True,True,True,False,True,black,True,True,False,True,True,True,none,True,United States,India
1452419,ACH Transfer,False,True,True,False,False,grey,True,True,True,False,False,False,none,True,India,Russia
1757351,Crypto,True,False,True,False,False,black,False,False,False,True,False,False,none,False,China,Russia
3384637,Wire Transfer,True,True,True,False,False,black,True,False,False,False,False,False,none,False,Brazil,Switzerland
3168030,SWIFT,True,True,True,True,True,none,False,True,True,True,False,True,black,True,China,Brazil
4907474,Wire Transfer,False,False,True,True,True,none,True,True,True,False,False,True,none,False,United Kingdom,Switzerland
442746,ACH Transfer,False,False,True,True,True,grey,True,True,False,True,False,False,grey,False,Switzerland,Switzerland
1751472,Wire Transfer,True,False,True,False,True,none,True,False,False,True,False,True,black,False,Switzerland,Germany
4230840,Check,True,True,False,True,False,grey,True,True,True,False,True,True,grey,True,Switzerland,United Kingdom
947885,ACH Transfer,False,False,False,True,True,black,False,False,True,True,True,False,none,False,Switzerland,India
2762721,ACH Transfer,False,False,True,False,False,grey,False,True,False,False,True,False,grey,True,China,China
3706104,Wire Transfer,True,False,True,False,False,black,False,False,False,True,False,True,black,False,China,China
1993195,ACH Transfer,False,False,True,True,False,grey,True,False,False,False,True,True,black,True,China,United Kingdom
2146312,SWIFT,True,True,True,True,False,none,False,True,True,True,False,False,none,True,United Kingdom,Germany
3297276,Crypto,False,True,True,True,True,black,False,False,True,False,True,True,black,True,India,Germany
299646,SWIFT,True,False,False,True,False,none,True,True,True,False,True,True,none,True,Switzerland,Russia
4049225,Crypto,True,True,False,True,False,none,True,True,True,False,False,False,black,True,Brazil,United States
3816539,Check,True,True,False,True,False,grey,True,False,False,True,True,False,black,False,United States,India
1985531,ACH Transfer,True,False,True,False,False,grey,True,True,False,True,True,True,none,False,Brazil,United Kingdom
2087670,Wire Transfer,True,False,True,False,True,none,False,False,True,True,True,True,none,True,Brazil,China
3814341,Wire Transfer,False,False,False,True,False,black,True,True,True,True,False,True,none,False,United Kingdom,United Kingdom
591515,ACH Transfer,False,True,True,False,False,grey,False,False,False,True,False,False,none,True,Brazil,Brazil
1374138,Wire Transfer,True,False,True,True,True,none,True,True,True,False,True,True,grey,False,United Kingdom,China
1065914,Crypto,True,True,True,False,False,black,False,False,True,False,False,True,grey,True,United Kingdom,India
697471,Wire Transfer,False,True,True,False,False,black,False,False,False,True,False,False,grey,False,Switzerland,Switzerland
1275941,SWIFT,False,True,False,False,False,grey,True,True,True,False,False,False,grey,False,United States,Germany
3044800,ACH Transfer,True,False,False,True,True,grey,True,False,False,False,True,True,grey,False,Brazil,Germany
3200750,ACH Transfer,True,False,True,False,False,grey,False,False,False,False,False,False,black,True,China,Switzerland
1067724,Crypto,False,True,False,True,False,grey,False,False,False,False,False,True,grey,False,Switzerland,United States
3446614,Check,True,True,False,True,True,black,False,True,False,True,True,False,grey,True,Germany,United States
554489,ACH Transfer,True,False,True,True,True,grey,False,False,True,False,False,True,none,False,Germany,Switzerland
2978375,SWIFT,False,True,True,False,True,black,True,True,False,True,False,True,grey,True,United States,China
281723,Crypto,False,False,False,False,True,none,False,True,True,False,False,True,none,False,Russia,China
2429611,Check,True,False,True,False,False,black,False,True,True,True,True,False,none,True,United Kingdom,China
1423111,SWIFT,False,False,True,True,False,none,True,True,False,False,True,False,black,True,Brazil,Brazil
2895870,SWIFT,True,False,True,False,False,grey,True,True,True,True,False,True,black,False,China,Germany
200000,SWIFT,True,False,False,True,True,none,True,False,False,True,False,False,grey,False,Switzerland,Brazil
986983,Wire Transfer,True,False,False,True,True,black,False,False,False,False,True,True,none,True,Germany,Switzerland
1702869,Crypto,False,True,False,False,False,grey,True,False,True,True,True,False,grey,True,Russia,United Kingdom
3481673,ACH Transfer,False,False,False,False,True,none,True,False,True,False,False,False,black,False,India,Germany
233938,ACH Transfer,False,True,True,False,False,grey,True,False,False,False,True,True,black,False,United Kingdom,Brazil
8437,Check,False,True,True,True,False,none,True,True,False,False,False,True,none,True,Russia,United Kingdom
4796488,Crypto,False,False,False,True,True,grey,False,True,True,True,True,True,grey,False,Russia,Germany
52258,ACH Transfer,False,True,True,False,True,black,False,True,True,True,False,False,black,False,India,India
3927723,SWIFT,True,False,True,True,False,grey,False,False,False,True,True,False,grey,False,United Kingdom,United States
2728008,Crypto,True,True,True,False,False,none,False,False,True,False,True,False,none,False,Brazil,United States
2800738,ACH Transfer,False,False,False,False,True,black,False,True,False,True,True,True,none,True,Germany,United Kingdom
4941087,Check,True,True,False,True,True,grey,True,True,True,True,False,True,none,False,Russia,Switzerland
4205416,SWIFT,False,False,True,False,True,grey,False,True,False,False,False,False,none,True,United States,Switzerland
3657815,Check,True,True,True,True,False,grey,False,True,False,False,False,False,black,True,United Kingdom,Brazil
4221038,SWIFT,True,True,False,False,False,grey,False,True,False,True,False,False,grey,False,China,Switzerland
3622588,Check,False,False,False,False,True,grey,True,True,False,True,False,False,grey,False,China,China
1777790,Wire Transfer,False,True,True,False,False,black,True,False,False,False,False,False,none,True,Switzerland,Switzerland
1177708,ACH Transfer,False,True,True,False,False,black,True,False,False,True,False,True,none,False,United Kingdom,Russia
907675,Crypto,True,False,False,False,True,black,False,True,True,True,True,False,black,True,Switzerland,Switzerland
1938722,Check,False,False,False,False,True,none,True,False,False,True,True,True,black,True,United Kingdom,Brazil
3739290,ACH Transfer,True,True,True,False,True,grey,True,False,True,True,True,False,black,True,Brazil,Germany
2744236,Wire Transfer,False,False,True,True,False,black,True,True,True,False,False,True,black,False,United Kingdom,United Kingdom
1306957,Crypto,True,False,False,True,True,black,True,True,True,False,False,True,black,True,China,China
2738390,ACH Transfer,True,False,False,False,False,grey,True,False,False,True,False,True,black,True,Switzerland,United Kingdom
3390559,Crypto,False,False,False,False,False,none,False,False,False,True,True,False,grey,True,Russia,China
482138,Check,True,False,False,True,True,none,False,True,True,True,True,False,grey,True,Russia,Switzerland
2461433,SWIFT,False,True,True,True,False,none,False,True,False,False,True,False,none,False,Germany,Brazil
3025591,SWIFT,True,True,True,True,True,none,False,False,True,True,False,True,grey,False,Brazil,China
4367811,Crypto,False,False,False,False,False,none,True,False,False,False,False,False,none,True,Switzerland,United States
688442,Crypto,True,True,False,True,True,black,False,False,True,True,False,False,grey,True,China,United States
448806,ACH Transfer,False,False,True,True,False,grey,False,True,True,False,False,False,none,False,Russia,United Kingdom
2729999,Check,True,True,True,False,True,grey,True,False,False,True,False,False,none,True,Germany,Switzerland
4258070,Crypto,True,False,False,True,False,grey,True,False,True,False,True,True,none,True,United Kingdom,China
964055,Crypto,True,False,False,True,True,grey,False,False,False,False,False,True,grey,True,Brazil,China
4501843,Check,False,True,True,False,True,none,False,True,False,False,True,True,black,False,Germany,Brazil
1832173,Wire Transfer,True,True,True,False,False,none,True,False,False,False,False,False,grey,False,United States,India
404877,Crypto,True,False,True,True,True,none,True,True,False,True,True,True,none,True,United States,Germany
4102532,Crypto,False,False,False,False,True,none,True,True,True,False,False,False,none,True,China,United States
1759332,ACH Transfer,False,True,False,True,False,none,True,False,True,False,True,True,grey,True,Germany,United Kingdom
1267049,Crypto,True,False,False,False,True,grey,True,False,False,False,False,True,none,True,Brazil,Russia
1319574,Check,True,True,True,False,True,black,False,False,True,False,False,True,grey,False,Russia,United States
452874,Wire Transfer,False,True,False,False,True,black,True,False,False,True,False,True,none,False,Germany,China
1519567,ACH Transfer,False,False,True,False,False,none,False,False,False,False,False,False,none,False,Switzerland,India
3347312,Wire Transfer,True,True,True,False,False,grey,True,False,True,True,False,False,none,False,United Kingdom,Russia
4926102,ACH Transfer,False,True,True,False,True,grey,True,False,False,True,False,True,black,False,Germany,Brazil
1270022,Crypto,False,True,True,True,False,none,True,True,False,True,True,True,none,True,Switzerland,Switzerland
265696,Check,False,False,False,False,False,grey,False,True,False,False,False,False,grey,True,China,United Kingdom
3167544,Check,False,False,False,True,False,black,False,False,False,False,False,False,black,False,India,India
4777756,Check,False,False,False,True,True,none,False,True,False,True,False,False,grey,False,United States,Switzerland
4905745,Check,True,False,True,False,True,none,False,False,False,True,False,True,black,False,China,United Kingdom
4165455,ACH Transfer,False,False,True,True,False,none,True,True,True,False,True,True,grey,True,India,Switzerland
4226705,SWIFT,False,True,False,False,True,none,False,False,True,False,False,True,none,True,Brazil,Russia
2851571,Wire Transfer,False,True,True,True,True,none,False,False,True,True,True,False,grey,True,Switzerland,Russia
1315340,ACH Transfer,True,False,True,True,True,black,False,True,False,False,True,True,none,True,Germany,United Kingdom
4337109,Check,True,False,False,True,False,none,False,False,False,False,True,True,none,False,Switzerland,Germany
2315881,Crypto,False,False,True,False,True,none,False,True,True,False,False,False,none,False,Brazil,United States
574185,Wire Transfer,False,False,False,False,False,grey,False,False,False,False,False,True,grey,True,United Kingdom,China
477437,Check,False,True,False,True,False,black,True,True,False,False,True,True,grey,True,United Kingdom,Germany
836443,Check,True,True,True,True,True,none,True,False,False,True,False,True,black,False,Switzerland,Russia
3522273,Crypto,False,False,True,False,False,none,False,True,False,True,False,True,none,True,China,Switzerland
166457,Check,False,True,False,False,True,none,True,True,True,True,True,True,black,True,India,Switzerland
3146335,SWIFT,False,False,True,False,False,black,True,False,True,False,True,False,none,False,United States,China
1800137,Check,False,True,False,False,True,none,False,True,True,True,False,False,black,False,China,United States
212645,Wire Transfer,True,True,True,False,False,grey,False,True,True,True,True,False,grey,True,Brazil,United States
1532205,Check,False,True,True,True,True,grey,False,False,False,True,True,True,black,True,United Kingdom,Brazil
4794671,ACH Transfer,False,False,True,False,False,none,False,True,False,True,True,False,grey,True,United States,Brazil
2773797,Crypto,False,True,False,False,False,none,False,True,True,True,False,True,black,True,Russia,Brazil
997678,Wire Transfer,True,False,False,True,True,none,True,True,True,True,True,True,black,False,Brazil,United States
862907,Check,True,False,False,True,False,none,True,True,False,True,False,False,grey,True,Russia,Switzerland
